49	22820	547	1645	3614	5530	4318	1815	7132	7412	5530	4537	6273	3303	5536	3303	3303	3303	4069	9759	5536	3065	1019	3276	5467	7018	1646	358	3303	3303	3303	1132	5536	2099
50	57835	3055	9429	6817	351	1815	5624	8648	292	351	1131	6323	231	6777	231	7040	7040	79784	7421	3276	81027	1727	5536	5916	23410	1025	1804	231	4791	231	2157	6777	6890
51	1968	3141	1269	2937	10893	4325	6352	1351	3612	10893	2162	5915	7132	231	7040	231	231	1499	3704	156	4987	5465	6258	3055	5210	1644	10226	7132	7846	7040	8858	231	1499
52	400	6890	2099	526	1376	4320	3674	5536	1804	1376	2147	6096	4791	3725	7132	4791	4791	1121	3553	5126	6714	5916	1144	2739	715	1387	3482	4791	231	7132	476	3725	5243
53	51166	5034	7941	9497	9900	100	3627	1387	1463	9900	2912	5294	7846	7132	4791	7846	7846	5914	5467	10376	4842	547	5290	4642	1804	6441	5210	7846	820	4791	6352	7132	5469
54	26225	6195	1374	10135	3309	4323	8913	231	4124	3309	7846	155	7040	1327	7846	7421	7421	4049	2770	1135	10376	5915	5034	513	3497	2244	3938	7040	3932	7846	5627	1327	5468
55	875	3934	22949	328	6718	1280	476	6777	1116	6718	5624	6195	3932	100	7421	3932	3932	10499	6273	1499	1387	5536	4987	5034	25870	5536	279	3932	5516	7421	1133	100	3704
56	3035	4282	6095	2987	1636	4314	2811	3725	3630	1636	1133	6567	5516	3303	3932	5516	5516	10376	22949	157	3932	7155	81027	154	2717	5732	1116	5516	1385	3932	54331	3303	1854
57	57026	2516	5048	55856	498	4905	6530	100	9265	498	6752	51493	4790	1350	5516	4790	4790	3312	3932	383	383	7376	6286	90411	55	55244	1773	4790	5894	5516	157	1350	1105
58	998	22949	1312	2935	6711	476	2912	1072	941	6711	1132	2934	7421	5914	4790	4193	4193	383	9262	3553	146	2110	10376	5468	80332	834	2779	7421	4790	4790	2160	5914	2516
59	4282	154	2213	8647	6752	5478	7057	3303	942	6752	4987	7376	5894	1072	4193	5894	5894	3276	3360	3957	6567	1382	6714	155	2548	51170	1081	5894	7040	4193	6531	1072	190
60	204	1786	10062	6733	1859	116	2157	2235	5962	1859	1129	5144	1385	7846	5894	1385	1385	154	7153	4642	3480	2185	3932	1268	10226	6822	7099	1385	1072	5894	3627	7846	10057
61	51477	6286	3174	191	64386	821	2243	2891	1493	64386	4905	5241	4193	1351	1385	7132	7132	5126	5241	8732	3760	1121	506	3553	811	4790	1463	4193	4193	1385	3053	1351	23410
62	124583	6714	7376	3035	79148	2149	5627	7846	27036	79148	6530	3553	5599	4791	5599	5599	5599	6646	81027	3360	8435	2104	6567	7376	2264	4193	25870	5599	5599	5599	8911	4791	5467
63	9266	3065	6567	400	1513	9900	8858	1340	6391	1513	2770	3055	5515	4193	5515	6095	6095	157	498	3932	3973	506	7153	10062	3938	5516	914	5515	5352	5515	2244	4193	586
64	4942	5241	7054	1244	4316	1636	4905	4791	3567	4316	6715	6714	1072	4790	1072	5515	5515	9349	7155	6646	150	10062	5468	8503	7099	8850	51493	1072	2891	1072	2153	4790	7535
